A̱o,Parana_INTA,Parana_SMN
1961,-,1049.5
1962,524.5,531
1963,845.4,902.3
1964,837.1,936.8
1965,978,1020.6
1966,915.4,976.7
1967,912.6,1179
1968,735.4,738.6
1969,682.8,821.9
1970,997.6,1059.9
1971,1144.2,1243.1
1972,897.4,960.7
1973,1369.9,1408
1974,769.7,826.8
1975,849.7,922.6
1976,1132.1,1193.2
1977,1093.8,1093.6
1978,1607.8,1534
1979,1111.4,1298.6
1980,980.7,1047.6
1981,1342.7,1454
1982,927.8,907.3
1983,1189,1220.2
1984,1324.3,1399.3
1985,1098.1,929.6
1986,1267.4,1323.8
1987,843,903.6
1988,844.4,949
1989,768.8,848.9
1990,1219.5,1290
1991,1099.8,0
1992,1179.6,1420.2
1993,1207.9,897.5
1994,785.4,820.7
1995,960.2,942
1996,924.8,762.7
1997,913.9,1006.5
1998,1022.4,1192.7
1999,-,1077.9
2000,1818.8,1592.3
2001,1303.2,1218.4
2002,1508.2,1361.9
2003,1411.6,1323.3
2004,955.8,1028.2
2005,1116.9,1177.4
2006,1106.6,1208.8
2007,1274.5,1301.6
2008,643.7,690.3
2009,1182,1350.6
2010,1163,1221.8
2011,1037.3,665.8
2012,1356.8,767.7
2013,851.6,1000.6
2014,1101.2,1310.9
2015,1139.4,1160.1
2016,1305.5,1346.3
2017,1155.4,1167.5
2018,1088.4,1088.8
2019,881.4,1282.1
